class_name,image_count
Citruspot,1000
Early_Mild_Spotting,1000
Fungal_Infected,1000
Healthy,1000
Mild_Edge_Damage,1000
Senescent,1000
Slightly_Diseased,1000
Wrinkled_Leaf,1000
